timestamp,n_positions,max_per_bucket,chips_count,memory_count,power_count,max_bucket_count,binding_buckets,bucket_holdings,book
2026-06-01T23:13:50,10,6,3,4,3,4,,"chips:INTC,AMD,LRCX|memory:SNDK,WDC,STX,MU|power:POWL,VRT,NVT",SNDK|WDC|STX|MU|INTC|POWL|VRT|AMD|LRCX|NVT
2026-06-02T23:16:24,10,6,3,4,3,4,,"chips:INTC,LRCX,AMD|memory:SNDK,WDC,STX,MU|power:POWL,VRT,NVT",SNDK|WDC|STX|MU|INTC|POWL|LRCX|VRT|AMD|NVT
2026-06-03T23:18:15,10,6,3,4,3,4,,"chips:INTC,LRCX,AMD|memory:SNDK,WDC,STX,MU|power:POWL,VRT,NVT",SNDK|WDC|STX|MU|INTC|POWL|LRCX|AMD|VRT|NVT
2026-06-04T22:53:26,10,6,3,4,3,4,,"chips:INTC,AMD,LRCX|memory:SNDK,WDC,STX,MU|power:POWL,VRT,NVT",SNDK|WDC|STX|MU|INTC|POWL|AMD|LRCX|VRT|NVT
2026-06-05T22:43:02,10,6,3,4,3,4,,"chips:INTC,AMD,LRCX|memory:SNDK,WDC,STX,MU|power:POWL,VRT,NVT",SNDK|WDC|STX|MU|INTC|POWL|AMD|LRCX|VRT|NVT
2026-06-08T22:57:10,10,6,4,4,2,4,,"chips:INTC,AMD,LRCX,MRVL|memory:SNDK,WDC,MU,STX|power:POWL,VRT",SNDK|WDC|MU|STX|INTC|POWL|AMD|LRCX|VRT|MRVL
2026-06-09T22:59:39,10,6,4,4,2,4,,"chips:INTC,AMD,LRCX,MRVL|memory:SNDK,WDC,MU,STX|power:POWL,VRT",SNDK|WDC|MU|STX|INTC|POWL|AMD|LRCX|VRT|MRVL
2026-06-10T23:08:36,10,6,3,4,3,4,,"chips:INTC,AMD,LRCX|memory:SNDK,WDC,MU,STX|power:POWL,VRT,NVT",SNDK|WDC|MU|STX|INTC|POWL|AMD|VRT|LRCX|NVT
2026-06-11T23:06:53,10,6,4,4,2,4,,"chips:INTC,AMD,LRCX,MRVL|memory:SNDK,WDC,MU,STX|power:POWL,VRT",SNDK|WDC|MU|STX|INTC|POWL|AMD|VRT|LRCX|MRVL
2026-06-12T22:58:01,10,6,4,4,2,4,,"chips:INTC,AMD,LRCX,MRVL|memory:SNDK,WDC,MU,STX|power:POWL,VRT",SNDK|WDC|MU|STX|INTC|POWL|AMD|VRT|LRCX|MRVL
2026-06-15T23:17:30,10,6,4,4,2,4,,"chips:INTC,AMD,LRCX,MRVL|memory:SNDK,WDC,STX,MU|power:POWL,VRT",SNDK|WDC|STX|MU|INTC|POWL|AMD|VRT|LRCX|MRVL
2026-06-16T23:05:43,10,6,4,4,2,4,,"chips:INTC,AMD,LRCX,MRVL|memory:SNDK,WDC,MU,STX|power:POWL,VRT",SNDK|WDC|MU|STX|INTC|POWL|AMD|LRCX|VRT|MRVL
